Empresa;Mês;Abertura;Segmento
ABC BRASIL;1;573,14;Serviços Bancários
ABC BRASIL;10;178,9;Serviços Bancários
ABC BRASIL;11;155,45;Serviços Bancários
ABC BRASIL;12;157,61;Serviços Bancários
ABC BRASIL;2;396,6;Serviços Bancários
ABC BRASIL;3;446,58;Serviços Bancários
ABC BRASIL;4;479,42;Serviços Bancários
ABC BRASIL;5;460,71;Serviços Bancários
ABC BRASIL;6;371,2;Serviços Bancários
ABC BRASIL;7;299;Serviços Bancários
ABC BRASIL;8;322,89;Serviços Bancários
ABC BRASIL;9;239,79;Serviços Bancários
ABNOTE;1;1.276,21;Outro
ABNOTE;10;505,05;Outro
ABNOTE;11;336,05;Outro
ABNOTE;12;401,58;Outro
ABNOTE;2;694,96;Outro
ABNOTE;3;642,84;Outro
ABNOTE;4;653,33;Outro
ABNOTE;5;750,43;Outro
ABNOTE;6;740,14;Outro
ABNOTE;7;756,86;Outro
ABNOTE;8;610,71;Outro
ABNOTE;9;615,4;Outro
ABYARA;1;1.869,29;Outro
ABYARA;10;87,04;Outro
ABYARA;11;61,1;Outro
ABYARA;12;88,64;Outro
ABYARA;2;1.286,2;Outro
ABYARA;3;1.180,71;Outro
ABYARA;4;1.228,58;Outro
ABYARA;5;1.611,91;Outro
ABYARA;6;1.568,7;Outro
ABYARA;7;1.138,94;Outro
ABYARA;8;773,47;Outro
ABYARA;9;253,29;Outro
ACO ALTONA;1;1.712,76;Outro
ACO ALTONA;10;409,18;Outro
ACO ALTONA;11;539,71;Outro
ACO ALTONA;12;854,75;Outro
ACO ALTONA;2;1.594,26;Outro
ACO ALTONA;3;1.300,18;Outro
ACO ALTONA;4;1.490,43;Outro
ACO ALTONA;5;1.721,82;Outro
ACO ALTONA;6;1.209,14;Outro
ACO ALTONA;7;1.005,83;Outro
ACO ALTONA;8;875,95;Outro
ACO ALTONA;9;1.049,98;Outro
ACOS VILL;1;59,17;Outro
ACOS VILL;10;30,7;Outro
ACOS VILL;11;21,56;Outro
ACOS VILL;12;20,78;Outro
ACOS VILL;2;42,82;Outro
