Empresa;Mês;Abertura;Segmento
3M;1;4615,67;BDR
3M;10;4920,62;BDR
3M;11;4636,61;BDR
3M;12;4481,61;BDR
3M;2;3621,99;BDR
3M;3;4214,05;BDR
3M;4;3326,86;BDR
3M;5;3957,06;BDR
3M;6;3288;BDR
3M;7;4977,89;BDR
3M;8;7308,51;BDR
3M;9;7573,1;BDR
3R PETROLEUM;11;563,66;Petróleo, Gás e Biocombustíveis
3R PETROLEUM;12;1233,54;Petróleo, Gás e Biocombustíveis
AB INBEV;1;6943,37;Bebidas
AB INBEV;10;3283,65;Bebidas
AB INBEV;11;999,76;Bebidas
AB INBEV;12;1200,93;Bebidas
AB INBEV;2;4678,53;Bebidas
AB INBEV;3;4189,83;Bebidas
AB INBEV;4;3334,66;Bebidas
AB INBEV;5;3373,63;Bebidas
AB INBEV;6;2645,51;Bebidas
AB INBEV;7;3983,32;Bebidas
AB INBEV;8;5564,48;Bebidas
AB INBEV;9;4296,01;Bebidas
ABB LTD;10;254,76;BDR
ABB LTD;11;620,35;BDR
ABB LTD;12;697,84;BDR
ABBOTT;1;1749,9;BDR
ABBOTT;10;2735,28;BDR
ABBOTT;11;2709,76;BDR
ABBOTT;12;2631,34;BDR
ABBOTT;2;1320,53;BDR
ABBOTT;3;1307,71;BDR
ABBOTT;4;1570,65;BDR
ABBOTT;5;2492,6;BDR
ABBOTT;6;943,69;BDR
ABBOTT;7;1143,19;BDR
ABBOTT;8;2422,99;BDR
ABBOTT;9;2395,19;BDR
ABBVIE;1;3643,43;BDR
ABBVIE;10;8644,23;BDR
ABBVIE;11;8477,3;BDR
ABBVIE;12;10306,78;BDR
ABBVIE;2;2013;BDR
ABBVIE;3;822,6;BDR
ABBVIE;4;3786,8;BDR
ABBVIE;5;5570,61;BDR
ABBVIE;6;5881,25;BDR
ABBVIE;7;5675,79;BDR
ABBVIE;8;6222,57;BDR
ABBVIE;9;10648,74;BDR
ABC BRASIL;1;1606,13;Serviços Bancários
ABC BRASIL;10;1420,23;Serviços Bancários
ABC BRASIL;11;969,3;Serviços Bancários
ABC BRASIL;12;732,85;Serviços Bancários
ABC BRASIL;2;1089,69;Serviços Bancários
ABC BRASIL;3;1171,84;Serviços Bancários
ABC BRASIL;4;764,62;Serviços Bancários
ABC BRASIL;5;721,84;Serviços Bancários
ABC BRASIL;6;1278,53;Serviços Bancários
ABC BRASIL;7;1362,11;Serviços Bancários
ABC BRASIL;8;1098,89;Serviços Bancários
ABC BRASIL;9;1118,29;Serviços Bancários
ABCB;9;0,2;BDR
ABEV;1;303,01;Bebidas
ABEV;10;376,08;Bebidas
ABEV;2;133,65;Bebidas
ABEV;3;158,73;Bebidas
ABEV;4;137,54;Bebidas
ABEV;5;141,38;Bebidas
ABEV;6;391,25;Bebidas
ABEV;7;469,3;Bebidas
ABEV;8;296,05;Bebidas
ABEV;9;273,25;Bebidas
ABEV    /EJ;1;16,91;Bebidas
ABEV  FM;1;80,63;Bebidas
ABEV  FM;10;125,56;Bebidas
ABEV  FM;2;57,23;Bebidas
ABEV  FM;3;88,1;Bebidas
ABEV  FM;4;95,04;Bebidas
ABEV  FM;5;111,14;Bebidas
ABEV  FM;6;129,24;Bebidas
ABEV  FM;7;138,05;Bebidas
ABEV  FM;8;93,94;Bebidas
ABEV  FM;9;72,5;Bebidas
ABEV  FM/EJ;1;7,34;Bebidas
ABEVE;1;498,32;Bebidas
ABEVE;10;811,2;Bebidas
ABEVE;2;588,82;Bebidas
ABEVE;3;1488,85;Bebidas
ABEVE;4;1157,92;Bebidas
ABEVE;5;1058,02;Bebidas
ABEVE;6;867,21;Bebidas
ABEVE;7;557,2;Bebidas
ABEVE;8;840,83;Bebidas
ABEVE;9;905,85;Bebidas
ABEVE    /EJ;1;17,76;Bebidas
ABEVE  FM;1;43,37;Bebidas
