Empresa;Abertura;Mês;Segmento
3M;4920,62;10;BDR
3M;4636,61;11;BDR
3M;4481,61;12;BDR
3R PETROLEUM;607,62;11;Petróleo, Gás e Biocombustíveis
3R PETROLEUM;1920,29;12;Petróleo, Gás e Biocombustíveis
AB INBEV;3283,65;10;Bebidas
AB INBEV;999,76;11;Bebidas
AB INBEV;1200,93;12;Bebidas
ABB LTD;254,76;10;BDR
ABB LTD;620,35;11;BDR
ABB LTD;697,84;12;BDR
ABBOTT;2735,28;10;BDR
ABBOTT;2709,76;11;BDR
ABBOTT;2631,34;12;BDR
ABBVIE;8644,23;10;BDR
ABBVIE;8477,3;11;BDR
ABBVIE;10306,78;12;BDR
ABC BRASIL;1420,23;10;Serviços Bancários
ABC BRASIL;1275,66;11;Serviços Bancários
ABC BRASIL;1357,94;12;Serviços Bancários
ABEV;388,56;10;Bebidas
ABEV;807,63;11;Bebidas
ABEV;714,4;12;Bebidas
ABEV    /EJ;454,66;12;Bebidas
ABEV  FM;129,11;10;Bebidas
ABEV  FM;96,11;11;Bebidas
ABEV  FM;74,1;12;Bebidas
ABEV  FM/EJ;39,59;12;Bebidas
ABEVE;838,19;10;Bebidas
ABEVE;638,89;11;Bebidas
ABEVE;311,77;12;Bebidas
ABEVE    /EJ;432,98;12;Bebidas
ABEVE  FM;85,35;10;Bebidas
ABEVE  FM;79,25;11;Bebidas
ABEVE  FM;45,18;12;Bebidas
ABEVE  FM/EJ;27,46;12;Bebidas
ABIOMED INC;8128,68;10;BDR
ABIOMED INC;6217,58;11;BDR
ABIOMED INC;4430,99;12;BDR
ACCENTURE;15222,73;10;BDR
ACCENTURE;15649,89;11;BDR
ACCENTURE;19592,94;12;BDR
ACO ALTONA;707,82;10;BDR
ACO ALTONA;561,9;11;BDR
ACO ALTONA;734,85;12;BDR
ACTIVISION;9515,4;10;BDR
ACTIVISION;8439,53;11;BDR
ACTIVISION;8858,65;12;BDR
ADOBE INC;10636,19;10;BDR
ADOBE INC;1033,78;11;BDR
ADOBE INC;1011,88;12;BDR
ADVANCE AUTO;1348,75;10;BDR
ADVANCE AUTO;1030,29;11;BDR
ADVANCE AUTO;951,88;12;BDR
ADVANCED MIC;9763,73;10;BDR
ADVANCED MIC;9062,36;11;BDR
ADVANCED MIC;9620,9;12;BDR
ADVANCED-DH;86,84;10;BDR
ADVANCED-DH;79,4;11;BDR
ADVANCED-DH;71,25;12;BDR
AEGON NV;47,31;10;BDR
AEGON NV;311,4;11;BDR
AEGON NV;384,64;12;BDR
AERIS;233,32;11;Máquinas e Equipamentos
AERIS;534,06;12;Máquinas e Equipamentos
AES CORP;1340,3;10;BDR
AES CORP;1471,2;11;BDR
AES CORP;1567,27;12;BDR
AES TIETE E;1353,82;10;BDR
AES TIETE E;1303,61;11;BDR
AES TIETE E;1368,16;12;BDR
AFLAC INC;816,78;10;BDR
AFLAC INC;2231,2;11;BDR
AFLAC INC;1612,78;12;BDR
AFLUENTE T;411,64;10;BDR
AFLUENTE T;359,24;11;BDR
AFLUENTE T;396,97;12;BDR
AGILENT TECH;589,58;10;BDR
AGILENT TECH;594,7;11;BDR
AGILENT TECH;1814,32;12;BDR
AIG GROUP;1422,01;10;BDR
AIG GROUP;1793,45;11;BDR
AIG GROUP;1963,53;12;BDR
AIR PRODUCTS;2474,09;10;BDR
AIR PRODUCTS;1882,56;11;BDR
AIR PRODUCTS;694,49;12;BDR
AKAMAI TECHN;3468,06;10;BDR
AKAMAI TECHN;774,61;11;BDR
AKAMAI TECHN;674,19;12;BDR
ALASKA AIR G;660,81;10;BDR
ALASKA AIR G;1222,77;11;BDR
ALASKA AIR G;1865,78;12;BDR
ALBEMARLE CO;3195,57;10;BDR
ALBEMARLE CO;11876,83;11;BDR
ALBEMARLE CO;10792,57;12;BDR
ALEXANDRIA R;897,61;10;BDR
ALEXANDRIA R;686,4;11;BDR
ALEXANDRIA R;3120,15;12;BDR
ALEXION PHAR;5728,16;10;BDR
ALEXION PHAR;4420,69;11;BDR
ALEXION PHAR;2832,09;12;BDR
ALFA CONSORC;1073,79;10;Previdência e Seguros
ALFA CONSORC;891,3;11;Previdência e Seguros
ALFA CONSORC;882,3;12;Previdência e Seguros
ALFA FINANC;486,78;10;BDR
ALFA FINANC;407,81;11;BDR
ALFA FINANC;485,97;12;BDR
ALFA HOLDING;435,6;10;Intermediários Financeiros
ALFA HOLDING;432,86;11;Intermediários Financeiros
ALFA HOLDING;575,95;12;Intermediários Financeiros
ALFA INVEST;505,18;10;BDR
ALFA INVEST;645,68;11;BDR
ALFA INVEST;658,53;12;BDR
ALIANSCSONAE;2247,53;10;Exploração de Imóveis
ALIANSCSONAE;2144,37;11;Exploração de Imóveis
ALIANSCSONAE;3305,79;12;Exploração de Imóveis
ALIBABAGR;23966,74;10;BDR
ALIBABAGR;1076,81;11;BDR
ALIBABAGR;951,74;12;BDR
ALIGN TECHNO;3865,62;10;BDR
ALIGN TECHNO;7705,08;11;BDR
ALIGN TECHNO;12003,07;12;BDR
ALLEGION PLC;578,51;10;BDR
ALLEGION PLC;295,01;11;BDR
ALLEGION PLC;1424,7;12;BDR
ALLIANCE DAT;838,16;10;BDR
ALLIANCE DAT;1641,37;11;BDR
ALLIANCE DAT;1816,8;12;BDR
ALLIANT ENER;1543,37;10;BDR
ALLIANT ENER;1738,87;11;BDR
ALLIANT ENER;532,98;12;BDR
ALLIAR;569,93;10;Serviços Médico - Hospitalares, Análises e Diagnósticos
ALLIAR;614,06;11;Serviços Médico - Hospitalares, Análises e Diagnósticos
ALLIAR;784,99;12;Serviços Médico - Hospitalares, Análises e Diagnósticos
ALLSTATE COR;1024,52;10;BDR
ALLSTATE COR;794,68;11;BDR
ALLSTATE COR;817,83;12;BDR
ALNYLAM PHAR;460,71;10;BDR
ALNYLAM PHAR;598,47;11;BDR
ALNYLAM PHAR;546,3;12;BDR
ALPAE;3,95;11;BDR
ALPAE;1,6;12;BDR
ALPARGATAS;4098,55;10;BDR
ALPARGATAS;3924,57;11;BDR
ALPARGATAS;3956,65;12;BDR
ALPER S.A.;1299,16;10;Previdência e Seguros
ALPER S.A.;1346,28;11;Previdência e Seguros
ALPER S.A.;1601,69;12;Previdência e Seguros
ALPHABET;10051,41;10;BDR
ALPHABET;2551;11;BDR
ALPHABET;2455,48;12;BDR
ALPHAVILLE;670,31;12;Construção Civil
ALSO;1,92;11;#N/D
ALSO;0,5;12;#N/D
ALSOE;0,6;10;BDR
ALSOE;31,96;11;BDR
ALTERYX INC;39,1;10;BDR
ALTERYX INC;352,38;11;BDR
ALTERYX INC;477,63;12;BDR
ALTRIA GROUP;3937,72;10;BDR
ALTRIA GROUP;3457,59;11;BDR
ALTRIA GROUP;3881,36;12;BDR
ALUP;0,06;10;BDR
ALUP;0,1;11;BDR
ALUPAR;2002,22;10;Energia Elétrica
ALUPAR;1996,59;11;Energia Elétrica
ALUPAR;2211,48;12;Energia Elétrica
ALUPE;0,49;10;BDR
ALUPE;1,77;11;BDR
AMAR;0,51;12;#N/D
AMAZON;191625,36;10;BDR
AMAZON;37803,15;11;BDR
AMAZON;2099,88;12;BDR
AMAZONIA;1665,69;10;BDR
AMAZONIA;1579,94;11;BDR
AMAZONIA;1672,86;12;BDR
AMBEV S/A;2044,46;10;Bebidas
AMBEV S/A;1853,8;11;Bebidas
AMBEV S/A;1778,83;12;Bebidas
AMBIPAR;1449,65;10;Água e Saneamento
AMBIPAR;1093,6;11;Água e Saneamento
AMBIPAR;1395,93;12;Água e Saneamento
AMCOR PLC;60,32;10;BDR
AMCOR PLC;188,72;11;BDR
AMCOR PLC;759,8;12;BDR
AMEREN CORP;930,96;10;BDR
AMEREN CORP;212,5;11;BDR
AMEREN CORP;1404,33;12;BDR
AMERICAMOVIL;193,01;10;BDR
AMERICAMOVIL;529,26;11;BDR
AMERICAMOVIL;511,89;12;BDR
AMERICAN AIR;1470,62;10;BDR
AMERICAN AIR;1416,52;11;BDR
AMERICAN AIR;1687,35;12;BDR
AMERICAN ELE;1781,24;10;BDR
AMERICAN ELE;3091,29;11;BDR
AMERICAN ELE;3233,07;12;BDR
AMERICAN EXP;8519,67;10;BDR
AMERICAN EXP;8435,86;11;BDR
AMERICAN EXP;9869,52;12;BDR
AMERICAN TOW;2711,95;10;BDR
AMERICAN TOW;3220,46;11;BDR
AMERICAN TOW;3989,69;12;BDR
